Run	spots	LibraryStrategy	LibraryLayout	Platform	Model	BioProject	ScientificName
SRR10168199	102518	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168200	102960	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168201	102474	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168202	90450	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168203	102934	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168204	102765	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168205	102489	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168206	102113	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168207	102418	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168208	101952	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168209	102647	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168210	103345	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168211	102509	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168212	101318	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168213	89789	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168214	101864	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168215	102151	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168216	102419	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168217	102629	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168218	102753	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168219	102097	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168220	102096	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168221	101191	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168222	101914	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168223	101739	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168224	89475	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168225	103039	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168226	103141	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168227	103233	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168228	102197	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168229	103261	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168230	89246	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168231	89676	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168232	89500	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168233	89867	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168234	89666	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168235	89962	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168236	89915	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168237	89518	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168238	89930	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168239	90007	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168240	90048	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168241	89496	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168242	89714	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168243	89621	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168244	89852	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168245	90082	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168246	89741	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168247	90045	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168248	89773	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168249	90316	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168250	90040	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168251	89889	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168252	89911	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168253	90108	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168254	89713	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168255	89862	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168256	89749	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168257	89840	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168258	89969	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168259	103300	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168260	101680	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168261	102728	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168262	102271	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168263	101676	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168264	102482	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168265	102181	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168266	101448	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168267	101671	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168268	102910	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168269	89537	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168270	89821	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10168271	89890	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239504	90585	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239505	90118	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239506	89966	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239507	89875	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239508	89959	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239509	90163	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239510	89982	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239511	90107	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239512	90100	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239513	89566	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239514	90104	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239515	89918	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239516	89745	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239517	89926	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239518	89860	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239519	90110	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
SRR10239520	89896	RAD-Seq	PAIRED	ILLUMINA	not_pinned_in_prior_output	PRJNA573756	Gallus gallus
